id,name,category,city,website,address
11590,Megu,nightclub,"New York",https://www.meguworldwide.com/,"355 W 16th St, New York, NY 10011"
11591,"Mehanata Bar",nightclub,"New York",http://www.mehanata.com/,"113 Ludlow St, New York, NY 10002"
11374,"Midtown Party Pass",nightclub,"New York",https://newyorkpass.com/en-us?utm_medium=organic&utm_source=GoogleMyBusiness&utm_campaign=nyp,"723 7th Ave Suite 901, New York, NY 10019"
11592,"Millennium Broadway Hotel Ball Drop View",nightclub,"New York",https://www.millenniumhotels.com/en/new-york/millennium-hotel-broadway-times-square/,"145 W 44th St, New York, NY 10036"
11593,"Mister H",nightclub,"New York",https://www.morganshotelgroup.com/mondrian/mondrian-soho/eat-drink/mister-h,"9 Crosby St, New York, NY 10013"
11594,"Monarch Rooftop Lounge",nightclub,"New York",http://www.monarchrooftop.com/,"71 W 35th St, New York, NY 10001"
11595,"Mood Ring",nightclub,"New York",https://moodringnyc.club/,"1260 Myrtle Ave, Brooklyn, NY 11221"
11596,Motel,nightclub,"New York",https://www.centralparkwesthostelwg.com/,"201 W 87th St, New York, NY 10024"
11598,"Mr Jones",nightclub,"New York",http://www.misterjonesnyc.com/,"22 Jones St, New York, NY 10014"
11599,"Music For A While",nightclub,"New York",https://musicforawhile.nyc/,"518 W 27th St Lower Level, New York, NY 10001"
11375,"Musica Club NYC",nightclub,"New York",http://musicanewyork.net/,"637 W 50th St, New York, NY 10019"
11600,"Mykonos Blue",nightclub,"New York",http://www.mykoniangarden.com/,"420 E 59th St, Manhattan, NY 10022"
11601,"NYC's date night party place",nightclub,"New York",https://www.secretroomnyc.com/,"707 8th Ave, New York, NY 10036"
11279,"Nebula NYC",nightclub,"New York",https://nebulanewyork.com/,"135 W 41st St, New York, NY 10036"
11603,"New York has to offer",nightclub,"New York",http://www.newyorklife.com/,"20595 Lorain Rd # 314, Cleveland, OH 44126"
11606,No,live_music,"New York",http://nowadays.nyc/,"56-06 Cooper Ave, Glendale, NY 11385"
11324,Nowadays,nightclub,"New York",http://nowadays.nyc/,"56-06 Cooper Ave, Glendale, NY 11385"
11311,Nublu,nightclub,"New York",http://nublu.net/,"151 Loisaida Ave, New York, NY 10009"
11608,"Old Savings Bank",nightclub,"New York",http://thesavingsbank.inhouse.scot/,"67 Bridge St, Glasgow G5 9JB, United Kingdom"
11609,PH,nightclub,"New York",http://www.thepenthouseny.com/,"617 W 46th St PH Floor, New York, NY 10036"
11610,"PHD Terrace",nightclub,"New York",https://www.phdterrace.com/,"210 W 55th St, New York, NY 10019"
11611,Pachita,nightclub,"New York",https://panchitasplace.dine.online/,"1612 Newkirk Ave, Brooklyn, NY 11226"
11377,"Pando Park",nightclub,"New York",https://www.pandosnyc.com/,"227 Kingston Ave, Brooklyn, NY 11213"
11293,Paragon,nightclub,"New York",https://www.paragonbroadway.com/,"990 Broadway, Brooklyn, NY 11221"
11613,"Paris Cafe",nightclub,"New York",http://www.my-little-paris.com/,"416 E Las Tunas Dr Unit C, San Gabriel, CA 91776"
11614,"Party on the Paddle Wheel Queen",nightclub,"New York",http://paddlepub.com/longisland,"495 New St Suite A, Oceanside, NY 11572"
11615,"Patrick's",nightclub,"New York",https://www.saintpatrickscathedral.org/,"5th Ave, New York, NY 10022"
11378,"Penny Williamsburg",nightclub,"New York",https://www.penny-hotel.com/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings,"288 N 8th St, Brooklyn, NY 11211"
11618,Pianos,nightclub,"New York",http://pianosnyc.com/,"158 Ludlow St, New York, NY 10002"
11619,"Pioneer Works",nightclub,"New York",https://pioneerworks.org/,"159 Pioneer St, Brooklyn, NY 11231"
11620,"Planet Hollywood Times Square",nightclub,"New York",https://planethollywoodnyc.com/?y_source=1_MTA4MzQ0ODA0Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"136 W 42nd St, New York, NY 10036"
11621,Pranna,nightclub,"New York",http://prannarestaurant.com/,"79 Madison Ave, New York, NY 10016"
11622,Pravda,live_music,"New York",http://www.pravdany.com/,"281 Lafayette St, New York, NY 10012"
11623,"Premier Hotel Penthouse",nightclub,"New York",https://www.millenniumhotels.com/en/new-york/millennium-premier-new-york-times-square/,"133 W 44th St, New York, NY 10036"
11624,"Pretty Ricky",nightclub,"New York",http://www.prettyrickys.com/,"101 Rivington St, New York, NY 10002"
11379,"Prime Astoria",nightclub,"New York",https://primeastoria.com/,"40-06 Astoria Blvd S, Astoria, NY 11103"
11625,"Printer's Alley",live_music,"New York",http://www.printersalleynyc.com/,"215 W 40th St, New York, NY 10018"
11380,"Proper West",live_music,"New York",https://www.specsbarsf.com/,"12 William Saroyan Place, San Francisco, CA 94133"
11381,"Public House",nightclub,"New York",http://publichousenyc.com/,"140 E 41st St, New York, NY 10017"
11627,"Public House NYC",nightclub,"New York",https://www.publichotels.com/?utm_source=local-directories&utm_medium=organic&utm_campaign=travelclick-localconnect,"215 Chrystie St, New York, NY 10002"
11302,Purgatory,nightclub,"New York",http://www.purgatorybk.com/,"675 Central Ave, Brooklyn, NY 11207"
11628,Queens,nightclub,"New York",http://www.queensbp.org/,"New York"
11382,"Racket NY",nightclub,"New York",http://racketnyc.com/,"431 W 16th St, New York, NY 10011"
11629,"Radio City Music Hall",nightclub,"New York",https://www.msg.com/radio-city-music-hall,"1260 6th Ave, New York, NY 10020"
11630,Rash,nightclub,"New York",http://rash-bar.nyc/,"941 Willoughby Ave, Brooklyn, NY 11221"
11312,Refuge,nightclub,"New York",http://www.refuge.nyc/,"360 Ten Eyck St, Brooklyn, NY 11206"
11290,"Republic Latin Fusion",nightclub,"New York",http://www.republiclatinfusion.com/,"181 N 10th St, Brooklyn, NY 11211"
11632,Rickey,nightclub,"New York",https://taogroup.com/venues/the-rickey-cocktail-lounge-new-york/,"210 W 55th St #1, New York, NY 10019"
11633,"Riff Raff",nightclub,"New York",https://www.riffraffnyc.com/,"1227 Broadway 39th Floor, New York, NY 10001"
11383,"Ripley would be the first to believe that",nightclub,"New York",http://www.nyc.gov/,"New York"
11634,"Rodney's Comedy Club",nightclub,"New York",http://www.rodneysnewyorkcomedyclub.com/,"1118 1st Ave, New York, NY 10065"
11635,Rogue,nightclub,"New York",http://www.roguegarms.com/,"154 Allen St, New York, NY 10002"
11636,"Rooftop Bar & Club Lounge",nightclub,"New York",http://www.230-fifth.com/,"1150 Broadway, New York, NY 10001"
11637,"Rosevale Cocktail Lounge",nightclub,"New York",https://rosevalenyc.com/,"305 W 48th St 2nd Floor, New York, NY 10036"
11638,Royal,nightclub,"New York",https://www.royaltonparkavenue.com/,"420 Park Ave S, New York, NY 10016"
11639,"Royalton Hotel Rooftop",nightclub,"New York",http://www.royaltonhotel.com/,"44 W 44th St, New York, NY 10036"
11326,"Royalton Park Avenue",nightclub,"New York",https://www.royaltonparkavenue.com/,"420 Park Ave S, New York, NY 10016"
11384,"Ruby Tuesday",nightclub,"New York",https://rubytuesday.com/,"41 Orange Plaza Ln, Scotchtown, NY 10940"
11283,SILO,nightclub,"New York",https://www.silobrooklyn.com/,"90 Scott Ave, Brooklyn, NY 11237"
11640,"STK Meatpacking Rooftop",nightclub,"New York",https://stksteakhouse.com/en-us/location/nyc-downtown/?gad_source=1&gbraid=0AAAAA9ZsvRDTVinv9ryZLGgsJ_f1OJpTj&gclid=EAIaIQobChMIyo3I5u6vigMVzWFHAR1wKSNiEAAYASAAEgLKoPD_BwE,"26 Little W 12th St, New York, NY 10014"
11641,"STK Meatpacking with their numerous VIP specials",nightclub,"New York",https://stksteakhouse.com/venues/nyc-downtown/,"26 Little W 12th St, New York, NY 10014"
11642,"Salud Soho",live_music,"New York",https://www.saludsoho.co/,"183 Grand St, New York, NY 10013"
11287,"San Antonios",nightclub,"New York",https://www.sanantoniosnyc.com/,"247 Eldridge St, New York, NY 10002"
11644,"Sapphire Lounge",nightclub,"New York",https://account.chase.com/sapphire-airport-lounge?y_source=1_MTAzMTk4NzIwNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"LaGuardia Airport, Terminal B, Level 1A, Queens, NY 11371"
11646,"Sea Wolf",nightclub,"New York",https://www.seawolfbk.com/,"19 Wyckoff Ave, Brooklyn, NY 11237"
11386,"Selva NYC",nightclub,"New York",http://selva.nyc/,"1329 Willoughby Ave Suite 121, Brooklyn, NY 11237"
11647,"Seven House Gallery",nightclub,"New York",https://www.peerspace.com/pages/listings/5ae5e23a8a765b0c0043b98e?sort_order=2,"35 Meadow St, Brooklyn, NY 11206"
11648,"Shay & Ivy",nightclub,"New York",https://shaymazaesthetics.com/,"2122 Eggert Rd, Amherst, NY 14226"
11303,Signal,nightclub,"New York",https://www.signalnyc.club/,"175 Morgan Ave, Brooklyn, NY 11237"
11649,"Silver Lining Lounge",live_music,"New York",https://taogroup.com/venues/silver-lining-lounge-new-york/,"145 Bowery, New York, NY 10002"
11650,"Sir Henri Rooftop",nightclub,"New York",http://sirhenrysnyc.com/,"795 8th Ave 1st Fl, New York, NY 10019"
11387,Skinos,nightclub,"New York",https://skinos123.com/?utm_source=google,"123 Washington St, New York, NY 10006"
11652,"Social Club",nightclub,"New York",http://www.theunionclub.com/,"101 E 69th St, New York, NY 10021"
11277,"Somewhere Nowhere",nightclub,"New York",https://www.somewherenowherenyc.com/,"112 W 25th St Floor 38 & 39, New York, NY 10001"
11653,"Somewhere Nowhere NYC",nightclub,"New York",https://www.somewherenowherenyc.com/,"112 W 25th St Floor 38 & 39, New York, NY 10001"
11389,"Sons of Essex",nightclub,"New York",https://www.essexnyc.com/?utm_campaign=gmb&utm_medium=organic&utm_source=gmb_listing,"124 Rivington St, New York, NY 10002"
11390,"Sony Hall",live_music,"New York",https://sonyhall.com/,"235 W 46th St, New York, NY 10036"
11654,Space,nightclub,"New York",https://spacekaraoke.com/,"34 W 32nd St Floor 11, New York, NY 10001"
11655,Stage,nightclub,"New York",http://www.newworldstages.com/,"340 W 50th St, New York, NY 10019"
11657,"Starchild Rooftop",nightclub,"New York",https://starchildrooftop.com/,"305 W 48th St, New York, NY 10036"
11658,"Stitch Lounge",nightclub,"New York",https://stitchnycinc.com/contact-1,"63 Flushing Ave Bldg 3, Brooklyn, NY 11205"
11328,"Stone Street Tavern",nightclub,"New York",http://www.stonestreettavernnyc.com/,"52 Stone St, New York, NY 10004"
11659,"Sugar Mouse",nightclub,"New York",https://sugarmousenyc.com/,"47 3rd Ave, New York, NY 10003"
11393,"Summer Club at Ravel Hotel",nightclub,"New York",http://www.summerclubnyc.com/,"8-08 Queens Plaza S, Long Island City, NY 11101"
11284,"Superior Ingredients",nightclub,"New York",https://www.si-bk.com/,"74 Wythe Ave, Brooklyn, NY 11249"
11662,"Sweetwater Social",nightclub,"New York",http://www.sweetwaterny.com/,"105 N 6th St, Brooklyn, NY 11211"
11666,"TBA - Secret East Williamsburg Locations & Green Room NYC",nightclub,"New York",https://www.secretprojectrobot.org/,"401 Wythe Ave, Brooklyn, NY 11249"
11668,"TBA - The Reserve, 212 E 125th St The Living Room, New York, NY",nightclub,"New York",https://thereservenyc.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_listing&hyly_channel=pr&hyly_method=w,"215 E 124th St, New York, NY 10035"
11330,"Taj II",live_music,"New York",https://tajmahallounge.com/,"25-27 Steinway St, Astoria, NY 11103"
11669,"Tapster Lexington",nightclub,"New York",http://taphaus33.net/,"14 E 33rd St, New York, NY 10016"
11396,"Tavern 29",nightclub,"New York",http://tavern29.com/,"47 E 29th St, New York, NY 10016"
11671,Tawny,live_music,"New York",http://www.tawny.nyc/,"173 Henry St, New York, NY 10002"
11397,"Terminal 5",nightclub,"New York",http://www.terminal5nyc.com/,"610 W 56th St #612, New York, NY 10019"
11675,"The BogArt",live_music,"New York",http://56bogartstreet.com/,"56 Bogart St, Brooklyn, NY 11206"
11677,"The Bush",nightclub,"New York",http://bushbk.com/,"333 Troutman St Store 4, Brooklyn, NY 11237"
11398,"The Chocolate Factory",nightclub,"New York",http://www.chocolatefactoryvibes.com/,"70 Scott Ave, Brooklyn, NY 11237"
11678,"The DL",nightclub,"New York",https://www.thedl-nyc.com/,"95 Delancey St 3rd Floor, New York, NY 10002"
11331,"The DL-NYC",nightclub,"New York",https://www.thedl-nyc.com/,"95 Delancey St 3rd Floor, New York, NY 10002"
11399,"The Dean NYC",nightclub,"New York",https://thedean-nyc.com/,"214 W 39th St Unit #5, New York, NY 10018"
11680,"The Forgotten Dreams Supper Club",nightclub,"New York",http://www.supperclubnyc.com/,"178 5th Ave, New York, NY 10010"
11681,"The High Note",live_music,"New York",https://www.thehighnoteny.com/,"119 E 15th St, New York, NY 10003"
11682,"The House",nightclub,"New York",http://www.wearethehouse.com/,"29 Locust St, Brooklyn, NY 11206"
11332,"The Meadows",nightclub,"New York",https://www.thebrooklynmonarch.com/the-meadows,"17 Meadow St, Brooklyn, NY 11206"
11685,"The Red Pavilion",nightclub,"New York",https://theredpavilion.com/,"1241 Flushing Ave, Brooklyn, NY 11237"
