6585,"Grandma's Philly","1304 Walnut St, Philadelphia, PA 19107, USA",Philadelphia,PA
6586,"Bud & Marilyn's","1234 Locust St, Philadelphia, PA 19107, USA",Philadelphia,PA
6587,"Square 1682","121 S 17th St, Philadelphia, PA 19103, USA",Philadelphia,PA
6588,Zahav,"237 St James Pl, Philadelphia, PA 19106, USA",Philadelphia,PA
6589,Fork,"306 Market St, Philadelphia, PA 19106, USA",Philadelphia,PA
6590,"Darling Jack's Tavern","104 S 13th St, Philadelphia, PA 19107, USA",Philadelphia,PA
6591,"Osteria Ama Philly","1905 Chestnut St, Philadelphia, PA 19103, USA",Philadelphia,PA
6592,"Cuba Libre Restaurant & Rum Bar","10 S 2nd St, Philadelphia, PA 19106, USA",Philadelphia,PA
6593,"Estia Restaurant","1405-07 Locust St, Philadelphia, PA 19102, USA",Philadelphia,PA
6594,"Del Frisco's Double Eagle Steakhouse","1428-1432 Chestnut St, Philadelphia, PA 19102, USA",Philadelphia,PA
6595,"Barclay Prime","237 S 18th St, Philadelphia, PA 19103, USA",Philadelphia,PA
6596,"Vetri Cucina","1312 Spruce St, Philadelphia, PA 19107, USA",Philadelphia,PA
6597,Provenance,"408 S 2nd St, Philadelphia, PA 19147, USA",Philadelphia,PA
6598,Wilder,"2009 Sansom St, Philadelphia, PA 19103, USA",Philadelphia,PA
6599,"Alpen Rose","116 S 13th St, Philadelphia, PA 19107, USA",Philadelphia,PA
6600,"Lacroix Restaurant at The Rittenhouse","210 W Rittenhouse Square, Philadelphia, PA 19103, USA",Philadelphia,PA
6601,Morimoto,"723 Chestnut St, Philadelphia, PA 19106, USA",Philadelphia,PA
6602,"Ambra Restaurant","705 S 4th St, Philadelphia, PA 19147, USA",Philadelphia,PA
6603,"Vernick Food & Drink","2031 Walnut St, Philadelphia, PA 19103, USA",Philadelphia,PA
6605,"Saloon Restaurant","750 S 7th St, Philadelphia, PA 19147, USA",Philadelphia,PA
6606,"Ocean Prime","124 S 15th St, Philadelphia, PA 19102, USA",Philadelphia,PA
6607,"Friday Saturday Sunday","261 S 21st St, Philadelphia, PA 19103, USA",Philadelphia,PA
6608,"Eddie V's Prime Seafood","670 W Dekalb Pike, King of Prussia, PA 19406, USA",Philadelphia,PA
6609,Panorama,"14 N Front St, Philadelphia, PA 19106, USA",Philadelphia,PA
6610,"Her Place Supper Club","1740 Sansom St, Philadelphia, PA 19103, USA",Philadelphia,PA
6611,Osteria,"640 N Broad St, Philadelphia, PA 19130, USA",Philadelphia,PA
6612,"The Victor Café","1303 Dickinson St, Philadelphia, PA 19147, USA",Philadelphia,PA
6613,"Fiorella Pasta","817 Christian St, Philadelphia, PA 19147, USA",Philadelphia,PA
6614,"Villa di Roma","936 S 9th St, Philadelphia, PA 19147, USA",Philadelphia,PA
6615,"Giorgio On Pine","1328 Pine St, Philadelphia, PA 19107, USA",Philadelphia,PA
6616,"La Nonna","214 South St, Philadelphia, PA 19147, USA",Philadelphia,PA
6617,"Dante & Luigi's","762 S 10th St, Philadelphia, PA 19147, USA",Philadelphia,PA
