venue_name,city,neighborhood,event_count,music_genres
"Virgin Hotels New York","New York",,3,"Live Music,House"
Xanadu,"New York",,3,House
"and converted from a","New York",,3,House
00:00,"New York",,2,Hip-Hop
"3 Dollar Bill","New York",,2,
"AMC Times Square","New York",,2,
"American Whiskey Midtown","New York",,2,House
"Blind Barber NYC","New York",,2,"House,Live Music"
Bounce,"New York",,2,"EDM,Reggae"
Bowlero,"New York",,2,House
"Bowlero Times Square","New York",,2,"Live Music,House"
"Bowlero's whopping New Year's celebration","New York",,2,"Live Music"
"Brooklyn NY US","New York",,2,"EDM,House"
"Buca di Beppo","New York",,2,"House,Live Music"
"C'mon Everybody","New York",,2,
"Cafe Erzulie","New York",,2,"Hip-Hop,Afrobeats"
"Celon Lounge","New York",,2,Hip-Hop
"Cin Cin Lounge","New York",,2,R&B
"Cin Cin Lounge
Ring","New York",,2,House
"Civilian Hotel NYC","New York",,2,
"Common Ground Bar","New York",,2,House
"Dallas BBQ","New York",,2,"Live Music,Hip-Hop"
Delilah,"New York",,2,"Live Music"
"Dream Hotel","New York",,2,
"Fontainhas DUMBO","New York",,2,"Afrobeats,Jazz"
Gabriela,"New York",,2,Hip-Hop
GoldBar,"New York",,2,Hip-Hop
"HB Burger","New York",,2,
"HK Hall","New York",,2,Hip-Hop
"HOA HOME OF ASTORIA","New York",,2,Afrobeats
"Hart Bar","New York",,2,
"Headless Horseman","New York",,2,"Live Music"
"Highline Ballroom After","New York",,2,"Hip-Hop,Live Music"
"Hotel Chantelle","New York",,2,Latin
"Hotel on Rivington","New York",,2,Hip-Hop
"House of Brews has","New York",,2,House
"Le Bain","New York",,2,
Lexicon,"New York",,2,"Live Music,EDM"
"Margaritaville - Time Square","New York",,2,House
"Marriott Marquis","New York",,2,"Live Music"
"Midtown Party Pass","New York",,2,
"Musica Club NYC","New York",,2,R&B
"New York Beer Company","New York",,2,
"Pando Park","New York",,2,R&B
"Penny Williamsburg","New York",,2,House
"Prime Astoria","New York",,2,Hip-Hop
"Proper West","New York",,2,"Live Music"
"Public House","New York",,2,House
"Racket NY","New York",,2,
"Ripley would be the first to believe that","New York",,2,
"Ruby Tuesday","New York",,2,
"Saint
Step","New York",,2,House
"Selva NYC","New York",,2,
Skinos,"New York",,2,House
"Skyport Marina","New York",,2,
"Sons of Essex","New York",,2,Hip-Hop
"Sony Hall","New York",,2,"House,Live Music"
South,"New York",,2,"House,Hip-Hop"
"Stone Creek Bar & Lounge","New York",,2,Hip-Hop
"Summer Club at Ravel Hotel","New York",,2,Hip-Hop
"TBA - East Williamsburg","New York",,2,House
"Tao Downtown",Manhattan,,2,"Hip-Hop,Afrobeats"
"Tavern 29","New York",,2,R&B
"Terminal 5","New York",,2,
"The Chocolate Factory","New York",,2,House
"The Dean NYC","New York",,2,
"The Highlight Room",Manhattan,,2,Other
"The Penny Hotel","New York",,2,Hip-Hop
"The Roof at Superior Ingredients","New York",,2,House
"Times Square","New York",,2,House
Unveiled,"New York",,2,House
"Up & Down","New York",,2,
"Venue TBA",Hoboken,,2,House
"White Horse Tavern NYC","New York",,2,
"and nightclub favored by NYC","New York",,2,Hip-Hop
"chaos and opt for a more intimate venue","New York",,2,"Live Music"
"has an array of amenities","New York",,2,
"house DJ","New York",,2,"Live Music"
"in the back room","New York",,2,"Live Music"
"offers an over","New York",,2,"Live Music,House"
"sought after by locals and tourists alike","New York",,2,House
"will be imbued with an electrifying party energy","New York",,2,EDM
"154 Scott Ave","New York",,1,
"20 Church St","New York",,1,
"200 Central Park S","New York",,1,
"315 Meserole","New York",,1,House
"434 E 9th St","New York",,1,
"58 Avenue A","New York",,1,House
"5th & Mad","New York",,1,
"617 W 46th St","New York",,1,House
"64-02 Myrtle Ave","New York",,1,Hip-Hop
"65 Kent Ave, Brooklyn, NY 11249, USA","New York",,1,R&B
"A New York NY US","New York",,1,Hip-Hop
"AMC Times Square NYE Mega","New York",,1,
"Acoustik Garden Lounge","New York",,1,Afrobeats
"Adults Only Times Square NYE Party Pass","New York",,1,EDM
"After Party","New York",,1,Hip-Hop
"Ainsworth Chelsea","New York",,1,Hip-Hop
"Ainsworth Hoboken",Hoboken,,1,Hip-Hop
"All Access NYE Party Pass NYC","New York",,1,
