id,name,category,website,city,address
11048,"Kiku Sushi",restaurant,https://www.ezordernow.com/philadelphia-19145-kiku-sushi-802637,Philadelphia,
11049,"Tomo Sushi & Ramen",restaurant,http://tomosushiandramen.com/,Philadelphia,
11050,"637 Philly Sushi Club",restaurant,https://www.ykisushi.com/637phillysushiclub,Philadelphia,
11051,"Shinto Japanese Sushi & Hibachi",restaurant,https://shintophiladelphia.com/,Philadelphia,
11052,"Fuji Mountain Japanese Restaurant",restaurant,http://www.fujimt.com/,Philadelphia,
11053,"Yanaga Kappo Izakaya",restaurant,https://www.ykisushi.com/,Philadelphia,
11054,"Gyu-Kaku Japanese BBQ",restaurant,http://www.gyu-kaku.com/philadelphia,Philadelphia,
11055,"Umai Umai",restaurant,https://www.umai-umai.com/menus/,Philadelphia,
11056,"Kissho House Japanese Cuisine & Omakase",restaurant,https://www.kisshohouse.com/,Philadelphia,
11057,"Taku Japanese Steakhouse",restaurant,https://www.takukop.com/,Philadelphia,
11058,"Shay’s Steaks",restaurant,https://shayssteaks.shop/,Philadelphia,
11059,"Steak 48",restaurant,https://www.steak48.com/steakhouses/philadelphia/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Philadelphia,
11060,"Sullivan's Steakhouse",restaurant,https://sullivanssteakhouse.com/king-of-prussia/,Philadelphia,
11061,"Fogo de Chão Brazilian Steakhouse",restaurant,https://fogodechao.com/location/philadelphia/,Philadelphia,
11062,"Urban Farmer Philadelphia",restaurant,https://www.urbanfarmersteakhouse.com/,Philadelphia,
11063,"NaBrasa Brazilian Steakhouse",restaurant,https://nabrasa.com/locations/philadelphia/,Philadelphia,
11064,"Geno's Steaks",restaurant,https://www.genosteaks.com/,Philadelphia,
11065,"Malbec Argentine Steakhouse",restaurant,http://www.malbecsteakhouse.com/,Philadelphia,
11066,"Joey Chops",restaurant,https://joeychops.com/,Philadelphia,
11067,"Ruth's Chris Steak House",restaurant,https://www.ruthschris.com/locations/pa/philadelphia/philadelphia/7365?cmpid=br:rc_ag:ie_ch:loc_ca:RCGMB_sn:gmb_gt:philadelphia-pa-7365_pl:locurl_rd:1066,Philadelphia,
11068,"SY'S SOULFOOD PALACE",restaurant,https://www.syspalacesoulfood.com/,Philadelphia,
11069,"Tasties Soul Food Restaurant",restaurant,"",Philadelphia,
11070,"Greedy's",restaurant,"",Philadelphia,
11071,"Butter's Soul Food To Go",restaurant,https://www.butterssoulfood.com/,Philadelphia,
11072,"Sheba's Soul Plate restaurant",restaurant,https://www.shebassoulplate.com/,Philadelphia,
11073,"Tyemeka's Soul Food Restaurant",restaurant,https://tyemekassoulfood.menufy.com/,Philadelphia,
11074,"Soul Greedy",restaurant,https://www.toasttab.com/local/order/soulgreedy215/r-aa24f4f8-43f7-4620-812f-0f73118864df,Philadelphia,
11075,"Corinne's Place",restaurant,http://www.corinnesplace.com/,Philadelphia,
11076,"Sweet Lucy's Smokehouse",restaurant,http://www.sweetlucys.com/,Philadelphia,
11077,"Ma Lessie's Chicken & Waffles",restaurant,"",Philadelphia,
11078,"Crafty Soul",restaurant,https://craftysoulfoodphilly.com/,Philadelphia,
11079,"Ol Boys Soul Food Restaurant",restaurant,"",Philadelphia,
11080,"Love & Honey Fried Chicken",restaurant,https://www.loveandhoneyfriedchicken.com/,Philadelphia,
11081,"Emmanuel Kings & Queens of Soul Food",restaurant,https://instagram.com/emmanuel_soul_food?igshid=1u1jwjw53jyw,Philadelphia,
